,"Interval|""ms""|0|0|1","Utc|""ms""|0|0|1","Analog4|""Volts""|0.0|5.0|500","Analog5|""Volts""|0.0|5.0|500","Battery|""Volts""|0.0|20.0|1","AccelX|""G""|-3.0|3.0|200","AccelY|""G""|-3.0|3.0|200","AccelZ|""G""|-3.0|3.0|200","Yaw|""Deg/Sec""|-120|120|200","Pitch|""Deg/Sec""|-120|120|200","Roll|""Deg/Sec""|-120|120|200","Gsum|""G""|0.0|3.0|200","RPM|""rpm""|0|8000|500","RPM2|""rpm""|0|8000|500","GPIO1|""""|0.0|1.0|50","Latitude|Degrees|-180.0|180.0|25","Longitude|Degrees|-180.0|180.0|25","Speed|mph|0.0|150.0|25","Altitude|""ft""|0.0|4000.0|25","GPSSats|""""|0|20|25","GPSQual|""""|0|5|25","GPSDOP|""""|0.0|20.0|25"
101,419,0,1.47,1.88,,,,,,,,,0,132,,,,,,,,
102,421,0,1.46,1.88,,,,,,,,,0,132,,,,,,,,
103,423,0,1.46,1.87,,0.38,-0.13,1.42,1.0,6.0,6.0,0.4,0,132,0.0,,,,,,,
104,425,0,1.45,1.86,,,,,,,,,0,132,,,,,,,,
105,427,0,1.45,1.85,,,,,,,,,0,132,,,,,,,,
106,429,0,1.44,1.84,,,,,,,,,0,132,,,,,,,,
107,431,0,1.43,1.83,,,,,,,,,0,132,,,,,,,,
108,433,0,1.43,1.82,,0.26,-0.16,1.2,2.0,1.0,6.0,0.3,0,128,,,,,,,,
109,435,0,1.45,1.85,,,,,,,,,0,128,,,,,,,,
110,437,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
111,439,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
112,441,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
113,443,0,1.44,1.85,,0.04,-0.1,1.25,1.0,10.0,9.0,0.1,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,445,0,1.42,1.82,,,,,,,,,0,128,,,,,,,,
115,447,0,1.45,1.84,,,,,,,,,0,128,,,,,,,,
116,449,0,1.46,1.86,,,,,,,,,0,128,,,,,,,,
117,451,0,1.47,1.87,,,,,,,,,0,128,,,,,,,,
118,453,0,1.46,1.87,,-0.0,-0.0,0.82,2.0,-4.0,8.0,0.0,0,128,,,,,,,,
119,455,0,1.45,1.86,,,,,,,,,0,128,,,,,,,,
120,457,0,1.42,1.82,,,,,,,,,0,128,,,,,,,,
121,459,0,1.42,1.85,,,,,,,,,0,128,,,,,,,,
122,461,0,1.45,1.87,,,,,,,,,0,128,,,,,,,,
123,463,0,1.46,1.87,,-0.07,-0.04,0.56,1.0,1.0,8.0,0.08,0,128,0.0,,,,,,,
124,465,0,1.45,1.86,,,,,,,,,0,128,,,,,,,,
125,467,0,1.42,1.83,,,,,,,,,0,128,,,,,,,,
126,469,0,1.45,1.85,,,,,,,,,0,128,,,,,,,,
127,471,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
128,473,0,1.46,1.87,,-0.13,-0.0,0.78,-2.0,10.0,13.0,0.13,0,128,,,,,,,,
129,475,0,1.45,1.86,,,,,,,,,0,128,,,,,,,,
130,477,0,1.42,1.83,,,,,,,,,0,128,,,,,,,,
131,479,0,1.45,1.85,,,,,,,,,0,128,,,,,,,,
132,481,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
133,483,0,1.46,1.88,,0.07,0.01,0.89,-2.0,-8.0,13.0,0.07,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,485,0,1.44,1.85,,,,,,,,,0,128,,,,,,,,
135,487,0,1.42,1.83,,,,,,,,,0,128,,,,,,,,
136,489,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
137,491,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
138,493,0,1.45,1.86,,0.09,0.11,0.91,-1.0,3.0,13.0,0.14,0,128,,,,,,,,
139,495,0,1.42,1.83,,,,,,,,,0,132,,,,,,,,
140,497,0,1.46,1.87,,,,,,,,,0,132,,,,,,,,
141,499,0,1.47,1.88,,,,,,,,,0,132,,,,,,,,
142,501,0,1.46,1.87,,,,,,,,,0,132,,,,,,,,
143,503,0,1.43,1.84,,0.07,0.2,1.26,0.0,0.0,10.0,0.21,0,132,0.0,,,,,,,
144,505,0,1.45,1.86,,,,,,,,,0,132,,,,,,,,
145,507,0,1.47,1.88,,,,,,,,,0,132,,,,,,,,
146,509,0,1.46,1.88,,,,,,,,,0,132,,,,,,,,
147,511,0,1.43,1.84,,,,,,,,,0,132,,,,,,,,
148,513,0,1.46,1.87,,0.11,0.22,1.0,1.0,-4.0,7.0,0.24,0,132,,,,,,,,
149,515,0,1.46,1.88,,,,,,,,,0,132,,,,,,,,
150,517,0,1.47,1.88,,,,,,,,,0,132,,,,,,,,
151,519,0,1.43,1.84,,,,,,,,,0,132,,,,,,,,
152,521,0,1.44,1.85,,,,,,,,,0,132,,,,,,,,
153,523,0,1.46,1.88,,0.01,0.3,0.99,1.0,-2.0,3.0,0.3,0,132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,525,0,1.46,1.88,,,,,,,,,0,132,,,,,,,,
155,527,0,1.45,1.84,,,,,,,,,0,128,,,,,,,,
156,529,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
157,531,0,1.43,1.84,,,,,,,,,0,128,,,,,,,,
158,533,0,1.44,1.85,,0.06,0.3,1.08,1.0,0.0,-1.0,0.31,0,128,,,,,,,,
159,535,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
160,537,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
161,539,0,1.43,1.84,,,,,,,,,0,128,,,,,,,,
162,541,0,1.44,1.85,,,,,,,,,0,128,,,,,,,,
163,543,0,1.46,1.87,,0.13,0.2,1.14,0.0,-6.0,-5.0,0.24,0,128,0.0,,,,,,,
164,545,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
165,547,0,1.45,1.86,,,,,,,,,0,128,,,,,,,,
166,549,0,1.42,1.82,,,,,,,,,0,128,,,,,,,,
167,551,0,1.45,1.86,,,,,,,,,0,128,,,,,,,,
168,553,0,1.46,1.87,,0.12,0.31,1.25,0.0,-2.0,-7.0,0.34,0,128,,,,,,,,
169,555,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
170,557,0,1.43,1.84,,,,,,,,,0,128,,,,,,,,
171,559,0,1.43,1.84,,,,,,,,,0,128,,,,,,,,
172,561,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
173,563,0,1.46,1.87,,0.07,0.35,1.28,0.0,-3.0,-11.0,0.35,0,128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,565,0,1.45,1.86,,,,,,,,,0,128,,,,,,,,
175,567,0,1.41,1.83,,,,,,,,,0,128,,,,,,,,
176,569,0,1.45,1.86,,,,,,,,,0,128,,,,,,,,
177,571,0,1.46,1.87,,,,,,,,,0,128,,,,,,,,
178,573,0,1.46,1.88,,0.12,0.36,1.05,1.0,-9.0,-16.0,0.38,0,128,,,,,,,,
179,575,0,1.45,1.86,,,,,,,,,0,128,,,,,,,,
180,577,0,1.41,1.83,,,,,,,,,0,128,,,,,,,,
181,579,0,1.45,1.87,,,,,,,,,0,128,,,,,,,,
182,581,0,1.46,1.88,,,,,,,,,0,128,,,,,,,,
183,583,0,1.46,1.88,,0.03,0.32,0.88,2.0,-2.0,-18.0,0.32,0,128,0.0,,,,,,,
184,585,0,1.41,1.83,,,,,,,,,0,128,,,,,,,,
185,587,0,1.44,1.86,,,,,,,,,0,128,,,,,,,,
186,589,0,1.46,1.88,,,,,,,,,0,124,,,,,,,,
187,591,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
188,593,0,1.41,1.83,,-0.06,0.15,0.83,2.0,-5.0,-19.0,0.16,0,124,,,,,,,,
189,595,0,1.43,1.87,,,,,,,,,0,124,,,,,,,,
190,597,0,1.45,1.88,,,,,,,,,0,124,,,,,,,,
191,599,0,1.45,1.88,,,,,,,,,0,124,,,,,,,,
192,601,0,1.42,1.84,,,,,,,,,0,124,,,,,,,,
193,603,0,1.43,1.85,,0.07,-0.14,0.66,0.0,-7.0,-18.0,0.15,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,605,0,1.45,1.88,,,,,,,,,0,124,,,,,,,,
195,607,0,1.45,1.88,,,,,,,,,0,124,,,,,,,,
196,609,0,1.44,1.86,,,,,,,,,0,124,,,,,,,,
197,611,0,1.4,1.83,,,,,,,,,0,124,,,,,,,,
198,613,0,1.43,1.85,,0.06,-0.13,0.66,0.0,1.0,-13.0,0.14,0,124,,,,,,,,
199,615,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
200,617,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
201,619,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
202,621,0,1.4,1.83,,,,,,,,,0,124,,,,,,,,
203,623,0,1.44,1.86,,-0.08,-0.2,0.8,1.0,-5.0,-10.0,0.22,0,124,0.0,,,,,,,
204,625,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
205,627,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
206,629,0,1.44,1.86,,,,,,,,,0,124,,,,,,,,
207,631,0,1.46,1.89,,,,,,,,,0,124,,,,,,,,
208,633,0,1.45,1.87,,0.05,-0.34,0.73,1.0,-5.0,-6.0,0.34,0,124,,,,,,,,
209,635,0,1.44,1.87,,,,,,,,,0,124,,,,,,,,
210,637,0,1.44,1.86,,,,,,,,,0,124,,,,,,,,
211,639,0,1.41,1.83,,,,,,,,,0,124,,,,,,,,
212,641,0,1.43,1.85,,,,,,,,,0,124,,,,,,,,
213,643,0,1.44,1.87,,0.13,-0.34,0.78,0.0,-2.0,-1.0,0.36,0,124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,645,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
215,647,0,1.45,1.86,,,,,,,,,0,124,,,,,,,,
216,649,0,1.41,1.83,,,,,,,,,0,124,,,,,,,,
217,651,0,1.43,1.85,,,,,,,,,0,124,,,,,,,,
218,653,0,1.45,1.87,,0.04,-0.25,1.01,1.0,-3.0,3.0,0.25,0,124,,,,,,,,
219,655,0,1.45,1.88,,,,,,,,,0,124,,,,,,,,
220,657,0,1.42,1.84,,,,,,,,,0,124,,,,,,,,
221,659,0,1.43,1.86,,,,,,,,,0,124,,,,,,,,
222,661,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
223,663,0,1.46,1.86,,0.1,-0.02,1.26,1.0,-1.0,6.0,0.1,0,124,0.0,,,,,,,
224,665,0,1.44,1.84,,,,,,,,,0,124,,,,,,,,
225,667,0,1.42,1.83,,,,,,,,,0,124,,,,,,,,
226,669,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
227,671,0,1.46,1.87,,,,,,,,,0,124,,,,,,,,
228,673,0,1.45,1.86,,0.2,0.01,1.18,3.0,-3.0,5.0,0.2,0,124,,,,,,,,
229,675,0,1.42,1.83,,,,,,,,,0,124,,,,,,,,
230,677,0,1.45,1.86,,,,,,,,,0,124,,,,,,,,
231,679,0,1.46,1.87,,,,,,,,,0,124,,,,,,,,
232,681,0,1.45,1.87,,,,,,,,,0,124,,,,,,,,
